index,model,dataset,horizon,seed,epochs,batch_size
253,TimesNet,ETTm2,96,3407,10,32
254,TimesNet,ETTm2,96,3408,10,32
255,TimesNet,ETTm2,96,3409,10,32
256,TimesNet,ETTm2,192,3407,10,32
257,TimesNet,ETTm2,192,3408,10,32
258,TimesNet,ETTm2,192,3409,10,32
259,TimesNet,ETTm2,336,3407,10,32
260,TimesNet,ETTm2,336,3408,10,32
261,TimesNet,ETTm2,336,3409,10,32
262,TimesNet,ETTm2,720,3407,10,32
263,TimesNet,ETTm2,720,3408,10,32
264,TimesNet,ETTm2,720,3409,10,32
265,TimesNet,Weather,96,3407,10,32
266,TimesNet,Weather,96,3408,10,32
267,TimesNet,Weather,96,3409,10,32
268,TimesNet,Weather,192,3407,10,32
269,TimesNet,Weather,192,3408,10,32
270,TimesNet,Weather,192,3409,10,32
271,TimesNet,Weather,336,3407,10,32
272,TimesNet,Weather,336,3408,10,32
273,TimesNet,Weather,336,3409,10,32
274,TimesNet,Weather,720,3407,10,32
275,TimesNet,Weather,720,3408,10,32
276,TimesNet,Weather,720,3409,10,32
277,TimesNet,Electricity,96,3407,10,16
278,TimesNet,Electricity,96,3408,10,16
279,TimesNet,Electricity,96,3409,10,16
280,TimesNet,Electricity,192,3407,10,16
281,TimesNet,Electricity,192,3408,10,16
282,TimesNet,Electricity,192,3409,10,16
283,TimesNet,Electricity,336,3407,10,16
284,TimesNet,Electricity,336,3408,10,16
285,TimesNet,Electricity,336,3409,10,16
286,TimesNet,Electricity,720,3407,10,16
287,TimesNet,Electricity,720,3408,10,16
288,TimesNet,Electricity,720,3409,10,16
289,TimesNet,ILI,24,3407,10,32
290,TimesNet,ILI,24,3408,10,32
291,TimesNet,ILI,24,3409,10,32
292,TimesNet,ILI,36,3407,10,32
293,TimesNet,ILI,36,3408,10,32
294,TimesNet,ILI,36,3409,10,32
295,TimesNet,ILI,48,3407,10,32
296,TimesNet,ILI,48,3408,10,32
297,TimesNet,ILI,48,3409,10,32
298,TimesNet,ILI,60,3407,10,32
299,TimesNet,ILI,60,3408,10,32
300,TimesNet,ILI,60,3409,10,32
301,TimesNet,ExchangeRate,96,3407,10,32
302,TimesNet,ExchangeRate,96,3408,10,32
303,TimesNet,ExchangeRate,96,3409,10,32
304,TimesNet,ExchangeRate,192,3407,10,32
305,TimesNet,ExchangeRate,192,3408,10,32
306,TimesNet,ExchangeRate,192,3409,10,32
307,TimesNet,ExchangeRate,336,3407,10,32
308,TimesNet,ExchangeRate,336,3408,10,32
309,TimesNet,ExchangeRate,336,3409,10,32
310,TimesNet,ExchangeRate,720,3407,10,32
311,TimesNet,ExchangeRate,720,3408,10,32
312,TimesNet,ExchangeRate,720,3409,10,32
313,TimesNet,Traffic,96,3407,10,8
314,TimesNet,Traffic,96,3408,10,8
315,TimesNet,Traffic,96,3409,10,8
316,TimesNet,Traffic,192,3407,10,8
317,TimesNet,Traffic,192,3408,10,8
318,TimesNet,Traffic,192,3409,10,8
319,TimesNet,Traffic,336,3407,10,8
320,TimesNet,Traffic,336,3408,10,8
321,TimesNet,Traffic,336,3409,10,8
322,TimesNet,Traffic,720,3407,10,8
323,TimesNet,Traffic,720,3408,10,8
324,TimesNet,Traffic,720,3409,10,8
325,iTransformer,ETTh1,96,3407,10,32
326,iTransformer,ETTh1,96,3408,10,32
327,iTransformer,ETTh1,96,3409,10,32
328,iTransformer,ETTh1,192,3407,10,32
329,iTransformer,ETTh1,192,3408,10,32
330,iTransformer,ETTh1,192,3409,10,32
331,iTransformer,ETTh1,336,3407,10,32
332,iTransformer,ETTh1,336,3408,10,32
333,iTransformer,ETTh1,336,3409,10,32
334,iTransformer,ETTh1,720,3407,10,32
335,iTransformer,ETTh1,720,3408,10,32
336,iTransformer,ETTh1,720,3409,10,32
337,iTransformer,ETTh2,96,3407,10,32
338,iTransformer,ETTh2,96,3408,10,32
339,iTransformer,ETTh2,96,3409,10,32
340,iTransformer,ETTh2,192,3407,10,32
341,iTransformer,ETTh2,192,3408,10,32
342,iTransformer,ETTh2,192,3409,10,32
343,iTransformer,ETTh2,336,3407,10,32
344,iTransformer,ETTh2,336,3408,10,32
345,iTransformer,ETTh2,336,3409,10,32
346,iTransformer,ETTh2,720,3407,10,32
347,iTransformer,ETTh2,720,3408,10,32
348,iTransformer,ETTh2,720,3409,10,32
349,iTransformer,ETTm1,96,3407,10,32
350,iTransformer,ETTm1,96,3408,10,32
351,iTransformer,ETTm1,96,3409,10,32
352,iTransformer,ETTm1,192,3407,10,32
353,iTransformer,ETTm1,192,3408,10,32
354,iTransformer,ETTm1,192,3409,10,32
355,iTransformer,ETTm1,336,3407,10,32
356,iTransformer,ETTm1,336,3408,10,32
357,iTransformer,ETTm1,336,3409,10,32
358,iTransformer,ETTm1,720,3407,10,32
359,iTransformer,ETTm1,720,3408,10,32
360,iTransformer,ETTm1,720,3409,10,32
361,iTransformer,ETTm2,96,3407,10,32
362,iTransformer,ETTm2,96,3408,10,32
363,iTransformer,ETTm2,96,3409,10,32
364,iTransformer,ETTm2,192,3407,10,32
365,iTransformer,ETTm2,192,3408,10,32
366,iTransformer,ETTm2,192,3409,10,32
367,iTransformer,ETTm2,336,3407,10,32
368,iTransformer,ETTm2,336,3408,10,32
369,iTransformer,ETTm2,336,3409,10,32
370,iTransformer,ETTm2,720,3407,10,32
371,iTransformer,ETTm2,720,3408,10,32
372,iTransformer,ETTm2,720,3409,10,32
373,iTransformer,Weather,96,3407,10,32
374,iTransformer,Weather,96,3408,10,32
375,iTransformer,Weather,96,3409,10,32
376,iTransformer,Weather,192,3407,10,32
377,iTransformer,Weather,192,3408,10,32
378,iTransformer,Weather,192,3409,10,32
379,iTransformer,Weather,336,3407,10,32
380,iTransformer,Weather,336,3408,10,32
381,iTransformer,Weather,336,3409,10,32
382,iTransformer,Weather,720,3407,10,32
383,iTransformer,Weather,720,3408,10,32
384,iTransformer,Weather,720,3409,10,32
385,iTransformer,Electricity,96,3407,10,16
386,iTransformer,Electricity,96,3408,10,16
387,iTransformer,Electricity,96,3409,10,16
388,iTransformer,Electricity,192,3407,10,16
389,iTransformer,Electricity,192,3408,10,16
390,iTransformer,Electricity,192,3409,10,16
391,iTransformer,Electricity,336,3407,10,16
392,iTransformer,Electricity,336,3408,10,16
393,iTransformer,Electricity,336,3409,10,16
394,iTransformer,Electricity,720,3407,10,16
395,iTransformer,Electricity,720,3408,10,16
396,iTransformer,Electricity,720,3409,10,16
397,iTransformer,ILI,24,3407,10,32
398,iTransformer,ILI,24,3408,10,32
399,iTransformer,ILI,24,3409,10,32
400,iTransformer,ILI,36,3407,10,32
401,iTransformer,ILI,36,3408,10,32
402,iTransformer,ILI,36,3409,10,32
403,iTransformer,ILI,48,3407,10,32
404,iTransformer,ILI,48,3408,10,32
405,iTransformer,ILI,48,3409,10,32
406,iTransformer,ILI,60,3407,10,32
407,iTransformer,ILI,60,3408,10,32
408,iTransformer,ILI,60,3409,10,32
409,iTransformer,ExchangeRate,96,3407,10,32
410,iTransformer,ExchangeRate,96,3408,10,32
411,iTransformer,ExchangeRate,96,3409,10,32
412,iTransformer,ExchangeRate,192,3407,10,32
413,iTransformer,ExchangeRate,192,3408,10,32
414,iTransformer,ExchangeRate,192,3409,10,32
415,iTransformer,ExchangeRate,336,3407,10,32
416,iTransformer,ExchangeRate,336,3408,10,32
417,iTransformer,ExchangeRate,336,3409,10,32
418,iTransformer,ExchangeRate,720,3407,10,32
419,iTransformer,ExchangeRate,720,3408,10,32
420,iTransformer,ExchangeRate,720,3409,10,32
421,iTransformer,Traffic,96,3407,10,8
422,iTransformer,Traffic,96,3408,10,8
423,iTransformer,Traffic,96,3409,10,8
424,iTransformer,Traffic,192,3407,10,8
425,iTransformer,Traffic,192,3408,10,8
426,iTransformer,Traffic,192,3409,10,8
427,iTransformer,Traffic,336,3407,10,8
428,iTransformer,Traffic,336,3408,10,8
429,iTransformer,Traffic,336,3409,10,8
430,iTransformer,Traffic,720,3407,10,8
431,iTransformer,Traffic,720,3408,10,8
432,iTransformer,Traffic,720,3409,10,8
433,TimeMixer,ETTh1,96,3407,10,32
434,TimeMixer,ETTh1,96,3408,10,32
435,TimeMixer,ETTh1,96,3409,10,32
436,TimeMixer,ETTh1,192,3407,10,32
437,TimeMixer,ETTh1,192,3408,10,32
438,TimeMixer,ETTh1,192,3409,10,32
439,TimeMixer,ETTh1,336,3407,10,32
440,TimeMixer,ETTh1,336,3408,10,32
441,TimeMixer,ETTh1,336,3409,10,32
442,TimeMixer,ETTh1,720,3407,10,32
443,TimeMixer,ETTh1,720,3408,10,32
444,TimeMixer,ETTh1,720,3409,10,32
445,TimeMixer,ETTh2,96,3407,10,32
446,TimeMixer,ETTh2,96,3408,10,32
447,TimeMixer,ETTh2,96,3409,10,32
448,TimeMixer,ETTh2,192,3407,10,32
449,TimeMixer,ETTh2,192,3408,10,32
450,TimeMixer,ETTh2,192,3409,10,32
451,TimeMixer,ETTh2,336,3407,10,32
452,TimeMixer,ETTh2,336,3408,10,32
453,TimeMixer,ETTh2,336,3409,10,32
454,TimeMixer,ETTh2,720,3407,10,32
455,TimeMixer,ETTh2,720,3408,10,32
456,TimeMixer,ETTh2,720,3409,10,32
457,TimeMixer,ETTm1,96,3407,10,32
458,TimeMixer,ETTm1,96,3408,10,32
459,TimeMixer,ETTm1,96,3409,10,32
460,TimeMixer,ETTm1,192,3407,10,32
461,TimeMixer,ETTm1,192,3408,10,32
462,TimeMixer,ETTm1,192,3409,10,32
463,TimeMixer,ETTm1,336,3407,10,32
464,TimeMixer,ETTm1,336,3408,10,32
465,TimeMixer,ETTm1,336,3409,10,32
466,TimeMixer,ETTm1,720,3407,10,32
467,TimeMixer,ETTm1,720,3408,10,32
468,TimeMixer,ETTm1,720,3409,10,32
469,TimeMixer,ETTm2,96,3407,10,32
470,TimeMixer,ETTm2,96,3408,10,32
471,TimeMixer,ETTm2,96,3409,10,32
472,TimeMixer,ETTm2,192,3407,10,32
473,TimeMixer,ETTm2,192,3408,10,32
474,TimeMixer,ETTm2,192,3409,10,32
475,TimeMixer,ETTm2,336,3407,10,32
476,TimeMixer,ETTm2,336,3408,10,32
477,TimeMixer,ETTm2,336,3409,10,32
