index,model,dataset,horizon,seed,epochs,batch_size,status
226,TimesNet,ETTh1,720,3407,10,32,pending
227,TimesNet,ETTh1,720,3408,10,32,pending
228,TimesNet,ETTh1,720,3409,10,32,pending
229,TimesNet,ETTh2,96,3407,10,32,pending
230,TimesNet,ETTh2,96,3408,10,32,pending
231,TimesNet,ETTh2,96,3409,10,32,pending
232,TimesNet,ETTh2,192,3407,10,32,pending
233,TimesNet,ETTh2,192,3408,10,32,pending
234,TimesNet,ETTh2,192,3409,10,32,pending
235,TimesNet,ETTh2,336,3407,10,32,pending
236,TimesNet,ETTh2,336,3408,10,32,pending
237,TimesNet,ETTh2,336,3409,10,32,pending
238,TimesNet,ETTh2,720,3407,10,32,pending
239,TimesNet,ETTh2,720,3408,10,32,pending
240,TimesNet,ETTh2,720,3409,10,32,pending
241,TimesNet,ETTm1,96,3407,10,32,pending
242,TimesNet,ETTm1,96,3408,10,32,pending
243,TimesNet,ETTm1,96,3409,10,32,pending
244,TimesNet,ETTm1,192,3407,10,32,pending
245,TimesNet,ETTm1,192,3408,10,32,pending
246,TimesNet,ETTm1,192,3409,10,32,pending
247,TimesNet,ETTm1,336,3407,10,32,pending
248,TimesNet,ETTm1,336,3408,10,32,pending
249,TimesNet,ETTm1,336,3409,10,32,pending
250,TimesNet,ETTm1,720,3407,10,32,pending
251,TimesNet,ETTm1,720,3408,10,32,pending
252,TimesNet,ETTm1,720,3409,10,32,pending
253,TimesNet,ETTm2,96,3407,10,32,pending
254,TimesNet,ETTm2,96,3408,10,32,pending
255,TimesNet,ETTm2,96,3409,10,32,pending
256,TimesNet,ETTm2,192,3407,10,32,pending
257,TimesNet,ETTm2,192,3408,10,32,pending
258,TimesNet,ETTm2,192,3409,10,32,pending
259,TimesNet,ETTm2,336,3407,10,32,pending
260,TimesNet,ETTm2,336,3408,10,32,pending
261,TimesNet,ETTm2,336,3409,10,32,pending
262,TimesNet,ETTm2,720,3407,10,32,pending
263,TimesNet,ETTm2,720,3408,10,32,pending
264,TimesNet,ETTm2,720,3409,10,32,pending
265,TimesNet,Weather,96,3407,10,32,pending
266,TimesNet,Weather,96,3408,10,32,pending
267,TimesNet,Weather,96,3409,10,32,pending
268,TimesNet,Weather,192,3407,10,32,pending
269,TimesNet,Weather,192,3408,10,32,pending
270,TimesNet,Weather,192,3409,10,32,pending
271,TimesNet,Weather,336,3407,10,32,pending
272,TimesNet,Weather,336,3408,10,32,pending
273,TimesNet,Weather,336,3409,10,32,pending
274,TimesNet,Weather,720,3407,10,32,pending
275,TimesNet,Weather,720,3408,10,32,pending
276,TimesNet,Weather,720,3409,10,32,pending
277,TimesNet,Electricity,96,3407,10,16,pending
278,TimesNet,Electricity,96,3408,10,16,pending
279,TimesNet,Electricity,96,3409,10,16,pending
280,TimesNet,Electricity,192,3407,10,16,pending
281,TimesNet,Electricity,192,3408,10,16,pending
282,TimesNet,Electricity,192,3409,10,16,pending
283,TimesNet,Electricity,336,3407,10,16,pending
284,TimesNet,Electricity,336,3408,10,16,pending
285,TimesNet,Electricity,336,3409,10,16,pending
286,TimesNet,Electricity,720,3407,10,16,pending
287,TimesNet,Electricity,720,3408,10,16,pending
288,TimesNet,Electricity,720,3409,10,16,pending
289,TimesNet,ILI,24,3407,10,32,pending
290,TimesNet,ILI,24,3408,10,32,pending
291,TimesNet,ILI,24,3409,10,32,pending
292,TimesNet,ILI,36,3407,10,32,pending
293,TimesNet,ILI,36,3408,10,32,pending
294,TimesNet,ILI,36,3409,10,32,pending
295,TimesNet,ILI,48,3407,10,32,pending
296,TimesNet,ILI,48,3408,10,32,pending
297,TimesNet,ILI,48,3409,10,32,pending
298,TimesNet,ILI,60,3407,10,32,pending
299,TimesNet,ILI,60,3408,10,32,pending
300,TimesNet,ILI,60,3409,10,32,pending
301,TimesNet,ExchangeRate,96,3407,10,32,pending
302,TimesNet,ExchangeRate,96,3408,10,32,pending
303,TimesNet,ExchangeRate,96,3409,10,32,pending
304,TimesNet,ExchangeRate,192,3407,10,32,pending
305,TimesNet,ExchangeRate,192,3408,10,32,pending
306,TimesNet,ExchangeRate,192,3409,10,32,pending
307,TimesNet,ExchangeRate,336,3407,10,32,pending
308,TimesNet,ExchangeRate,336,3408,10,32,pending
309,TimesNet,ExchangeRate,336,3409,10,32,pending
310,TimesNet,ExchangeRate,720,3407,10,32,pending
311,TimesNet,ExchangeRate,720,3408,10,32,pending
312,TimesNet,ExchangeRate,720,3409,10,32,pending
313,TimesNet,Traffic,96,3407,10,8,pending
314,TimesNet,Traffic,96,3408,10,8,pending
315,TimesNet,Traffic,96,3409,10,8,pending
316,TimesNet,Traffic,192,3407,10,8,pending
317,TimesNet,Traffic,192,3408,10,8,pending
318,TimesNet,Traffic,192,3409,10,8,pending
319,TimesNet,Traffic,336,3407,10,8,pending
320,TimesNet,Traffic,336,3408,10,8,pending
321,TimesNet,Traffic,336,3409,10,8,pending
322,TimesNet,Traffic,720,3407,10,8,pending
323,TimesNet,Traffic,720,3408,10,8,pending
324,TimesNet,Traffic,720,3409,10,8,pending
325,iTransformer,ETTh1,96,3407,10,32,pending
326,iTransformer,ETTh1,96,3408,10,32,pending
327,iTransformer,ETTh1,96,3409,10,32,pending
328,iTransformer,ETTh1,192,3407,10,32,pending
329,iTransformer,ETTh1,192,3408,10,32,pending
330,iTransformer,ETTh1,192,3409,10,32,pending
331,iTransformer,ETTh1,336,3407,10,32,pending
332,iTransformer,ETTh1,336,3408,10,32,pending
333,iTransformer,ETTh1,336,3409,10,32,pending
334,iTransformer,ETTh1,720,3407,10,32,pending
335,iTransformer,ETTh1,720,3408,10,32,pending
336,iTransformer,ETTh1,720,3409,10,32,pending
337,iTransformer,ETTh2,96,3407,10,32,pending
338,iTransformer,ETTh2,96,3408,10,32,pending
339,iTransformer,ETTh2,96,3409,10,32,pending
340,iTransformer,ETTh2,192,3407,10,32,pending
341,iTransformer,ETTh2,192,3408,10,32,pending
342,iTransformer,ETTh2,192,3409,10,32,pending
343,iTransformer,ETTh2,336,3407,10,32,pending
344,iTransformer,ETTh2,336,3408,10,32,pending
345,iTransformer,ETTh2,336,3409,10,32,pending
346,iTransformer,ETTh2,720,3407,10,32,pending
347,iTransformer,ETTh2,720,3408,10,32,pending
348,iTransformer,ETTh2,720,3409,10,32,pending
349,iTransformer,ETTm1,96,3407,10,32,pending
350,iTransformer,ETTm1,96,3408,10,32,pending
351,iTransformer,ETTm1,96,3409,10,32,pending
352,iTransformer,ETTm1,192,3407,10,32,pending
353,iTransformer,ETTm1,192,3408,10,32,pending
354,iTransformer,ETTm1,192,3409,10,32,pending
355,iTransformer,ETTm1,336,3407,10,32,pending
356,iTransformer,ETTm1,336,3408,10,32,pending
357,iTransformer,ETTm1,336,3409,10,32,pending
358,iTransformer,ETTm1,720,3407,10,32,pending
359,iTransformer,ETTm1,720,3408,10,32,pending
360,iTransformer,ETTm1,720,3409,10,32,pending
361,iTransformer,ETTm2,96,3407,10,32,pending
362,iTransformer,ETTm2,96,3408,10,32,pending
363,iTransformer,ETTm2,96,3409,10,32,pending
364,iTransformer,ETTm2,192,3407,10,32,pending
365,iTransformer,ETTm2,192,3408,10,32,pending
366,iTransformer,ETTm2,192,3409,10,32,pending
367,iTransformer,ETTm2,336,3407,10,32,pending
368,iTransformer,ETTm2,336,3408,10,32,pending
369,iTransformer,ETTm2,336,3409,10,32,pending
370,iTransformer,ETTm2,720,3407,10,32,pending
371,iTransformer,ETTm2,720,3408,10,32,pending
372,iTransformer,ETTm2,720,3409,10,32,pending
373,iTransformer,Weather,96,3407,10,32,pending
374,iTransformer,Weather,96,3408,10,32,pending
375,iTransformer,Weather,96,3409,10,32,pending
376,iTransformer,Weather,192,3407,10,32,pending
377,iTransformer,Weather,192,3408,10,32,pending
378,iTransformer,Weather,192,3409,10,32,pending
379,iTransformer,Weather,336,3407,10,32,pending
380,iTransformer,Weather,336,3408,10,32,pending
381,iTransformer,Weather,336,3409,10,32,pending
382,iTransformer,Weather,720,3407,10,32,pending
383,iTransformer,Weather,720,3408,10,32,pending
384,iTransformer,Weather,720,3409,10,32,pending
385,iTransformer,Electricity,96,3407,10,16,pending
386,iTransformer,Electricity,96,3408,10,16,pending
387,iTransformer,Electricity,96,3409,10,16,pending
388,iTransformer,Electricity,192,3407,10,16,pending
389,iTransformer,Electricity,192,3408,10,16,pending
390,iTransformer,Electricity,192,3409,10,16,pending
391,iTransformer,Electricity,336,3407,10,16,pending
392,iTransformer,Electricity,336,3408,10,16,pending
393,iTransformer,Electricity,336,3409,10,16,pending
394,iTransformer,Electricity,720,3407,10,16,pending
395,iTransformer,Electricity,720,3408,10,16,pending
396,iTransformer,Electricity,720,3409,10,16,pending
397,iTransformer,ILI,24,3407,10,32,pending
398,iTransformer,ILI,24,3408,10,32,pending
399,iTransformer,ILI,24,3409,10,32,pending
400,iTransformer,ILI,36,3407,10,32,pending
401,iTransformer,ILI,36,3408,10,32,pending
402,iTransformer,ILI,36,3409,10,32,pending
403,iTransformer,ILI,48,3407,10,32,pending
404,iTransformer,ILI,48,3408,10,32,pending
405,iTransformer,ILI,48,3409,10,32,pending
406,iTransformer,ILI,60,3407,10,32,pending
407,iTransformer,ILI,60,3408,10,32,pending
408,iTransformer,ILI,60,3409,10,32,pending
409,iTransformer,ExchangeRate,96,3407,10,32,pending
410,iTransformer,ExchangeRate,96,3408,10,32,pending
411,iTransformer,ExchangeRate,96,3409,10,32,pending
412,iTransformer,ExchangeRate,192,3407,10,32,pending
413,iTransformer,ExchangeRate,192,3408,10,32,pending
414,iTransformer,ExchangeRate,192,3409,10,32,pending
415,iTransformer,ExchangeRate,336,3407,10,32,pending
416,iTransformer,ExchangeRate,336,3408,10,32,pending
417,iTransformer,ExchangeRate,336,3409,10,32,pending
418,iTransformer,ExchangeRate,720,3407,10,32,pending
419,iTransformer,ExchangeRate,720,3408,10,32,pending
420,iTransformer,ExchangeRate,720,3409,10,32,pending
421,iTransformer,Traffic,96,3407,10,8,pending
422,iTransformer,Traffic,96,3408,10,8,pending
423,iTransformer,Traffic,96,3409,10,8,pending
424,iTransformer,Traffic,192,3407,10,8,pending
425,iTransformer,Traffic,192,3408,10,8,pending
426,iTransformer,Traffic,192,3409,10,8,pending
427,iTransformer,Traffic,336,3407,10,8,pending
428,iTransformer,Traffic,336,3408,10,8,pending
429,iTransformer,Traffic,336,3409,10,8,pending
430,iTransformer,Traffic,720,3407,10,8,pending
431,iTransformer,Traffic,720,3408,10,8,pending
432,iTransformer,Traffic,720,3409,10,8,pending
433,TimeMixer,ETTh1,96,3407,10,32,pending
434,TimeMixer,ETTh1,96,3408,10,32,pending
435,TimeMixer,ETTh1,96,3409,10,32,pending
436,TimeMixer,ETTh1,192,3407,10,32,pending
437,TimeMixer,ETTh1,192,3408,10,32,pending
438,TimeMixer,ETTh1,192,3409,10,32,pending
439,TimeMixer,ETTh1,336,3407,10,32,pending
440,TimeMixer,ETTh1,336,3408,10,32,pending
441,TimeMixer,ETTh1,336,3409,10,32,pending
442,TimeMixer,ETTh1,720,3407,10,32,pending
443,TimeMixer,ETTh1,720,3408,10,32,pending
444,TimeMixer,ETTh1,720,3409,10,32,pending
445,TimeMixer,ETTh2,96,3407,10,32,pending
446,TimeMixer,ETTh2,96,3408,10,32,pending
447,TimeMixer,ETTh2,96,3409,10,32,pending
448,TimeMixer,ETTh2,192,3407,10,32,pending
449,TimeMixer,ETTh2,192,3408,10,32,pending
450,TimeMixer,ETTh2,192,3409,10,32,pending
451,TimeMixer,ETTh2,336,3407,10,32,pending
452,TimeMixer,ETTh2,336,3408,10,32,pending
453,TimeMixer,ETTh2,336,3409,10,32,pending
454,TimeMixer,ETTh2,720,3407,10,32,pending
455,TimeMixer,ETTh2,720,3408,10,32,pending
456,TimeMixer,ETTh2,720,3409,10,32,pending
457,TimeMixer,ETTm1,96,3407,10,32,pending
458,TimeMixer,ETTm1,96,3408,10,32,pending
459,TimeMixer,ETTm1,96,3409,10,32,pending
460,TimeMixer,ETTm1,192,3407,10,32,pending
461,TimeMixer,ETTm1,192,3408,10,32,pending
462,TimeMixer,ETTm1,192,3409,10,32,pending
463,TimeMixer,ETTm1,336,3407,10,32,pending
464,TimeMixer,ETTm1,336,3408,10,32,pending
465,TimeMixer,ETTm1,336,3409,10,32,pending
466,TimeMixer,ETTm1,720,3407,10,32,pending
467,TimeMixer,ETTm1,720,3408,10,32,pending
468,TimeMixer,ETTm1,720,3409,10,32,pending
469,TimeMixer,ETTm2,96,3407,10,32,pending
470,TimeMixer,ETTm2,96,3408,10,32,pending
471,TimeMixer,ETTm2,96,3409,10,32,pending
472,TimeMixer,ETTm2,192,3407,10,32,pending
473,TimeMixer,ETTm2,192,3408,10,32,pending
474,TimeMixer,ETTm2,192,3409,10,32,pending
475,TimeMixer,ETTm2,336,3407,10,32,pending
476,TimeMixer,ETTm2,336,3408,10,32,pending
477,TimeMixer,ETTm2,336,3409,10,32,pending
478,TimeMixer,ETTm2,720,3407,10,32,pending
479,TimeMixer,ETTm2,720,3408,10,32,pending
480,TimeMixer,ETTm2,720,3409,10,32,pending
481,TimeMixer,Weather,96,3407,10,32,pending
482,TimeMixer,Weather,96,3408,10,32,pending
483,TimeMixer,Weather,96,3409,10,32,pending
484,TimeMixer,Weather,192,3407,10,32,pending
485,TimeMixer,Weather,192,3408,10,32,pending
486,TimeMixer,Weather,192,3409,10,32,pending
487,TimeMixer,Weather,336,3407,10,32,pending
488,TimeMixer,Weather,336,3408,10,32,pending
489,TimeMixer,Weather,336,3409,10,32,pending
490,TimeMixer,Weather,720,3407,10,32,pending
491,TimeMixer,Weather,720,3408,10,32,pending
492,TimeMixer,Weather,720,3409,10,32,pending
493,TimeMixer,Electricity,96,3407,10,16,pending
494,TimeMixer,Electricity,96,3408,10,16,pending
495,TimeMixer,Electricity,96,3409,10,16,pending
496,TimeMixer,Electricity,192,3407,10,16,pending
497,TimeMixer,Electricity,192,3408,10,16,pending
498,TimeMixer,Electricity,192,3409,10,16,pending
499,TimeMixer,Electricity,336,3407,10,16,pending
500,TimeMixer,Electricity,336,3408,10,16,pending
501,TimeMixer,Electricity,336,3409,10,16,pending
502,TimeMixer,Electricity,720,3407,10,16,pending
503,TimeMixer,Electricity,720,3408,10,16,pending
504,TimeMixer,Electricity,720,3409,10,16,pending
505,TimeMixer,ILI,24,3407,10,32,pending
506,TimeMixer,ILI,24,3408,10,32,pending
507,TimeMixer,ILI,24,3409,10,32,pending
508,TimeMixer,ILI,36,3407,10,32,pending
509,TimeMixer,ILI,36,3408,10,32,pending
510,TimeMixer,ILI,36,3409,10,32,pending
511,TimeMixer,ILI,48,3407,10,32,pending
512,TimeMixer,ILI,48,3408,10,32,pending
513,TimeMixer,ILI,48,3409,10,32,pending
514,TimeMixer,ILI,60,3407,10,32,pending
515,TimeMixer,ILI,60,3408,10,32,pending
516,TimeMixer,ILI,60,3409,10,32,pending
517,TimeMixer,ExchangeRate,96,3407,10,32,pending
518,TimeMixer,ExchangeRate,96,3408,10,32,pending
519,TimeMixer,ExchangeRate,96,3409,10,32,pending
520,TimeMixer,ExchangeRate,192,3407,10,32,pending
521,TimeMixer,ExchangeRate,192,3408,10,32,pending
522,TimeMixer,ExchangeRate,192,3409,10,32,pending
523,TimeMixer,ExchangeRate,336,3407,10,32,pending
524,TimeMixer,ExchangeRate,336,3408,10,32,pending
525,TimeMixer,ExchangeRate,336,3409,10,32,pending
526,TimeMixer,ExchangeRate,720,3407,10,32,pending
527,TimeMixer,ExchangeRate,720,3408,10,32,pending
528,TimeMixer,ExchangeRate,720,3409,10,32,pending
529,TimeMixer,Traffic,96,3407,10,8,pending
530,TimeMixer,Traffic,96,3408,10,8,pending
