axis,dataset,model,horizon,segment,window_start,best_depth,selected_loss,optimal_loss,relative_tolerance,profiled_channels,U_mean,U_p10,U_p90,M_mean,M_p10,M_p90,seeds,local_units,window_index,relative_time,best_width_group,best_width,best_d_model,best_d_ff
width,ETTh1,PatchTST,96,test,2328,,0.8810019532857142,0.8810019532857142,0.0,7,0.37984182596975863,0.3025644014693339,0.4696288573952123,0.523505231429692,0.4700516288441264,0.5980064431282467,1,7,97,0.6879432624113475,4.0,16.0,16.0,128.0
width,ETTh1,PatchTST,96,test,2352,,0.7433204928571427,0.7433204928571427,0.0,7,0.4208468292939186,0.342095420916186,0.48484544145751785,0.4922189836283888,0.4247472724122302,0.5801698389988279,1,7,98,0.6950354609929078,8.0,32.0,32.0,256.0
width,ETTh1,PatchTST,96,test,2376,,0.28478753285714287,0.28478753285714287,0.0,7,0.32618246231984566,0.1676789245052418,0.5084127685503473,0.500200660687202,0.41720129304969583,0.5912117425715098,1,7,99,0.7021276595744681,8.0,32.0,32.0,256.0
width,ETTh1,PatchTST,96,test,2400,,0.3771160657142857,0.3771160657142857,0.0,7,0.431136530929846,0.3438269414531159,0.5230305974786521,0.517293887795377,0.39221151771290286,0.6966257700522472,1,7,100,0.7092198581560284,8.0,32.0,32.0,256.0
width,ETTh1,PatchTST,96,test,2424,,0.32387578999999994,0.32387578999999994,0.0,7,0.35872899227274546,0.31006732560189443,0.41150117123027974,0.5650174599024501,0.4390436043071214,0.709087114460046,1,7,101,0.7163120567375887,16.0,64.0,64.0,512.0
width,ETTh1,PatchTST,96,test,2448,,0.2951615714285714,0.2951615714285714,0.0,7,0.29069712851418955,0.21788943395164279,0.34434060275418854,0.5115542511565719,0.38437175889605524,0.6848438918581436,1,7,102,0.723404255319149,1.0,4.0,4.0,32.0
width,ETTh1,PatchTST,96,test,2472,,0.4186225042857143,0.4186225042857143,0.0,7,0.3479748550388976,0.27962130796332646,0.4090565815270209,0.5102477698364467,0.35296069578757305,0.7376064796464905,1,7,103,0.7304964539007093,1.0,4.0,4.0,32.0
width,ETTh1,PatchTST,96,test,2496,,0.707419812857143,0.707419812857143,0.0,7,0.33734463017635946,0.2746252599180106,0.39343032283090856,0.5114820996365813,0.31759908081587324,0.7446304207274195,1,7,104,0.7375886524822695,1.0,4.0,4.0,32.0
width,ETTh1,PatchTST,96,test,2520,,0.6279304514285714,0.6279304514285714,0.0,7,0.26437250472276586,0.20684357622246474,0.35704373272361745,0.49992425898840226,0.3453672991580251,0.6909535851410081,1,7,105,0.7446808510638298,16.0,64.0,64.0,512.0
width,ETTh1,PatchTST,96,test,2544,,0.5576064277142857,0.5576064277142857,0.0,7,0.3069736816141459,0.18110622924120734,0.44638684685128704,0.5138396626176666,0.34867846304912153,0.7024416619892803,1,7,106,0.75177304964539,1.0,4.0,4.0,32.0
width,ETTh1,PatchTST,96,test,2568,,0.3848004877142857,0.3848004877142857,0.0,7,0.3506525896589226,0.2721124595453966,0.4078975235740193,0.4798515940197577,0.36545663702001874,0.5966383999942062,1,7,107,0.7588652482269503,8.0,32.0,32.0,256.0
width,ETTh1,PatchTST,96,test,2592,,0.4236924007142857,0.4236924007142857,0.0,7,0.42122950338598,0.31872405270433823,0.5455837333383374,0.4633371272615566,0.3917450161542545,0.5379582784395942,1,7,108,0.7659574468085106,8.0,32.0,32.0,256.0
width,ETTh1,PatchTST,96,test,2616,,0.4604825538571428,0.4604825538571428,0.0,7,0.34065603230001784,0.2781299334449039,0.4073716053146206,0.4807753642093258,0.43458771615137415,0.5300061422330136,1,7,109,0.7730496453900709,8.0,32.0,32.0,256.0
width,ETTh1,PatchTST,96,test,2640,,0.5835321314285714,0.5835321314285714,0.0,7,0.2902088152621878,0.23207278252189784,0.36364605263014443,0.5444102020538142,0.47208842554764546,0.6301023241074555,1,7,110,0.7801418439716312,8.0,32.0,32.0,256.0
width,ETTh1,PatchTST,96,test,2664,,0.2850550317142857,0.2850550317142857,0.0,7,0.38708588717069636,0.30823412717470483,0.45842660423962617,0.5262030702700965,0.4560380545146514,0.5921663056216232,1,7,111,0.7872340425531915,2.0,8.0,8.0,64.0
width,ETTh1,PatchTST,96,test,2688,,0.31234805857142856,0.31234805857142856,0.0,7,0.3680857791175665,0.31836802578861456,0.4528458412840167,0.5064596850727977,0.3911801444947932,0.593942269656592,1,7,112,0.7943262411347518,1.0,4.0,4.0,32.0
width,ETTh1,PatchTST,96,test,2712,,0.2757483177142857,0.2757483177142857,0.0,7,0.31363396646568165,0.23993247177030677,0.381315294107851,0.5048902566522979,0.4137860501353927,0.6068813149745862,1,7,113,0.8014184397163121,2.0,8.0,8.0,64.0
width,ETTh1,PatchTST,96,test,2736,,0.2043267757142857,0.2043267757142857,0.0,7,0.32120302835438486,0.2103030518154116,0.41258468645325164,0.5086422393774507,0.4016596843707051,0.5717873506441268,1,7,114,0.8085106382978723,1.0,4.0,4.0,32.0
width,ETTh1,PatchTST,96,test,2760,,0.37993283714285714,0.37993283714285714,0.0,7,0.36828287450129193,0.30154722968627135,0.4173927726908911,0.5504974770377731,0.4415710303355402,0.6443120592517779,1,7,115,0.8156028368794326,1.0,4.0,4.0,32.0
width,ETTh1,PatchTST,96,test,2784,,0.49956232507142856,0.49956232507142856,0.0,7,0.35623831938377515,0.26386303970433045,0.46337889042114516,0.533220859384824,0.42528683147420787,0.6198108374385691,1,7,116,0.8226950354609929,1.0,4.0,4.0,32.0
width,ETTh1,PatchTST,96,test,2808,,0.42242796457142856,0.42242796457142856,0.0,7,0.4014428558353216,0.34244403773662857,0.48563391111091475,0.5306191985424519,0.41515443250383505,0.6317221824686563,1,7,117,0.8297872340425532,16.0,64.0,64.0,512.0
width,ETTh1,PatchTST,96,test,2832,,0.4677864188571429,0.4677864188571429,0.0,7,0.301861534078418,0.23392746104271586,0.42665494387646824,0.5039497348265237,0.3840632935144853,0.6167332541421392,1,7,118,0.8368794326241135,8.0,32.0,32.0,256.0
width,ETTh1,PatchTST,96,test,2856,,0.7348877220714286,0.7348877220714286,0.0,7,0.4447038938356762,0.29446982590418047,0.5495583486014923,0.5038203180869341,0.4057522303673045,0.6022181475759196,1,7,119,0.8439716312056738,8.0,32.0,32.0,256.0
