channel,u_change,u_spectral,u_surprise,m_peak,m_band,channel_effective_rank,m_channel,U,M,dataset,segment,sample_index,window_start,unit_id,loss_mae,loss_mse,model,seed,axis,depth,width_group,width,coupled_width,horizon,run_id
4,0.19508212893813892,0.011709674894167767,0.5604127351079494,0.25,0.5148367313098171,3.4325691442725867,0.40542819003638414,0.2557348463134187,0.39008830711540043,ETTh1,test,192,192,test:192:4,0.39568186,0.22945575,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
5,0.6521549334556598,0.12749044675269283,0.14596581064880165,0.5,0.6842640450371443,3.4325691442725867,0.40542819003638414,0.3085370636190514,0.5298974116911762,ETTh1,test,192,192,test:192:5,0.13619694,0.027612673,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
6,0.46042503899347287,0.06431784517601556,0.18713732471009575,0.5,0.7571070972612487,3.4325691442725867,0.40542819003638414,0.23729340295986137,0.554178429099211,ETTh1,test,192,192,test:192:6,0.11658939,0.020558951,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
0,0.5040294555998749,0.10324736586297656,0.6287238108705496,0.25,0.6322192560283932,3.5031690681271335,0.4171948439925308,0.4120002107778003,0.43313803334030804,ETTh1,test,216,216,test:216:0,0.9628396,1.7601423,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
1,0.46469985652372814,0.08618721260693041,0.5057414466211166,1.0,0.893349396812055,3.5031690681271335,0.4171948439925308,0.35220950525059175,0.7701814136015286,ETTh1,test,216,216,test:216:1,0.3916196,0.20341325,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
2,0.4702682728877249,0.0793593735835291,0.7468858173425792,0.25,0.6105242711079525,3.5031690681271335,0.4171948439925308,0.43217115460461103,0.42590637170016105,ETTh1,test,216,216,test:216:2,0.900469,1.6167516,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
3,0.3685622070245408,0.15056270899475827,0.47694122294887326,0.75,0.8725998577362383,3.5031690681271335,0.4171948439925308,0.3320220463227241,0.679931567242923,ETTh1,test,216,216,test:216:3,0.2924541,0.12173152,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
4,0.14480288294929666,0.028730533560466842,0.5436597000435374,0.25,0.5158658789367029,3.5031690681271335,0.4171948439925308,0.23906437218443363,0.39435357430974455,ETTh1,test,216,216,test:216:4,0.4083008,0.25340843,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
5,0.19712297234825327,0.2773501642069792,0.5775453512024097,0.25,0.8610521076972,3.5031690681271335,0.4171948439925308,0.3506728292525474,0.5094156505632436,ETTh1,test,216,216,test:216:5,0.12163017,0.021145409,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
6,0.16854410198288194,0.11474659806237972,0.6159690220235843,0.25,0.6126796848921594,3.5031690681271335,0.4171948439925308,0.29975324068961534,0.4266248429615634,ETTh1,test,216,216,test:216:6,0.15869658,0.04150833,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
0,0.0971142395629625,0.026609631426708497,0.11440608651199073,0.25,0.6751567157642561,3.1510130712879927,0.35850217795049516,0.07937665250055391,0.4278862979049171,ETTh1,test,240,240,test:240:0,0.81095153,1.1347862,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
1,0.1014942827305868,0.18660001713668198,0.4360155326096352,0.5,0.8279346785331738,3.1510130712879927,0.35850217795049516,0.24136994415896798,0.5621456188278896,ETTh1,test,240,240,test:240:1,0.4158742,0.20120496,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
2,0.19442014620920756,0.024806352510032117,0.22867643648191902,0.25,0.6567085820040499,3.1510130712879927,0.35850217795049516,0.14930097840038623,0.42173691998484836,ETTh1,test,240,240,test:240:2,0.7800717,1.0854865,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
3,0.15116657893101215,0.14288664616892296,0.4676499217332106,0.75,0.8484295151369858,3.1510130712879927,0.35850217795049516,0.2539010489443819,0.6523105643624937,ETTh1,test,240,240,test:240:3,0.3030034,0.11380049,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
4,0.14069941583541146,0.038956488748657654,0.4636829449434193,0.25,0.5757771833031993,3.1510130712879927,0.35850217795049516,0.21444628317582945,0.3947597870845648,ETTh1,test,240,240,test:240:4,0.32595393,0.17238486,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
5,0.5561955284584338,0.2541722898995448,0.1901617639435038,0.5,0.9323778562873516,3.1510130712879927,0.35850217795049516,0.33350986076716077,0.5969600114126156,ETTh1,test,240,240,test:240:5,0.08927695,0.012114547,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
6,0.3524054077805586,0.057214714620881936,0.3626112743161293,0.375,0.8727521440426742,3.1510130712879927,0.35850217795049516,0.2574104655725233,0.5354181073310564,ETTh1,test,240,240,test:240:6,0.18229951,0.050507978,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
0,0.47630083476392093,0.27761773596198824,0.4381694123831698,0.25,0.717549697366529,3.568098926556526,0.4280164870460602,0.39736266103635964,0.46518872813752976,ETTh1,test,264,264,test:264:0,0.71761006,1.0055875,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
1,0.15517243689165583,0.17976325168978102,0.5170547877609372,0.625,0.845489409289436,3.568098926556526,0.4280164870460602,0.283996825447458,0.6328352987784988,ETTh1,test,264,264,test:264:1,0.34578893,0.1411739,MultiPatchFormer,3407,depth,1,4,256,256,96,MultiPatchFormer__ETTh1__h96__depth__d1__wg4__s3407
